FIPS,Admin2,Province_State,Country_Region,Last-Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
48505,Zapata,Texas,US,2020-04-15 22:56:51,27.00156391,-99.16987152,3,0,0,3,"Zapata, Texas, US"
,,Alberta,Canada,2020-04-15 23:04:09,53.9333,-116.5765,1870,48,0,1822,"Alberta, Canada"
,,Anguilla,United Kingdom,2020-04-15 22:56:32,18.2206,-63.0686,3,0,1,2,"Anguilla, United Kingdom"
,,Anhui,China,2020-04-09 01:12:20,31.8257,117.2264,991,6,984,1,"Anhui, China"
,,Aruba,Netherlands,2020-04-15 22:56:32,12.5211,-69.9683,93,1,39,53,"Aruba, Netherlands"
,,Australian Capital Territory,Australia,2020-04-15 23:04:26,-35.4735,149.0124,103,3,72,28,"Australian Capital Territory, Australia"
,,Beijing,China,2020-04-15 01:12:53,40.1824,116.4142,590,8,495,87,"Beijing, China"
,,Bermuda,United Kingdom,2020-04-15 22:56:32,32.3078,-64.7505,81,5,33,43,"Bermuda, United Kingdom"
,,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-15 22:56:32,12.1784,-68.2385,3,0,0,3,"Bonaire, Sint Eustatius and Saba, Netherlands"
,,British Columbia,Canada,2020-04-15 23:04:09,53.7267,-127.6476,1517,72,0,1445,"British Columbia, Canada"
,,British Virgin Islands,United Kingdom,2020-04-15 22:56:32,18.4207,-64.64,3,0,2,1,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-15 22:56:32,19.3133,-81.2546,54,1,6,47,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-15 22:56:32,49.3723,-2.3644,447,15,69,363,"Channel Islands, United Kingdom"
,,Chongqing,China,2020-03-29 00:14:12,30.0572,107.874,579,6,570,3,"Chongqing, China"
,,Curacao,Netherlands,2020-04-15 22:56:32,12.1696,-68.99,14,1,10,3,"Curacao, Netherlands"
88888,,Diamond Princess,US,2020-04-15 22:56:51,,,49,0,0,49,"Diamond Princess, US"
,,Falkland Islands (Malvinas),United Kingdom,2020-04-15 22:56:32,-51.7963,-59.5236,11,0,1,10,"Falkland Islands (Malvinas), United Kingdom"
,,Faroe Islands,Denmark,2020-04-15 22:56:32,61.8926,-6.9118,184,0,166,18,"Faroe Islands, Denmark"
,,French Guiana,France,2020-04-15 22:56:32,4.0,-53.0,86,0,51,35,"French Guiana, France"
,,French Polynesia,France,2020-04-15 22:56:32,-17.6797,-149.4068,55,0,0,55,"French Polynesia, France"
,,Fujian,China,2020-04-15 01:53:31,26.0789,117.9874,353,1,331,21,"Fujian, China"
,,Gansu,China,2020-04-14 14:31:10,37.8099,101.0583,139,2,136,1,"Gansu, China"
,,Gibraltar,United Kingdom,2020-04-15 22:56:32,36.1408,-5.3536,131,0,104,27,"Gibraltar, United Kingdom"
,,Grand Princess,Canada,2020-04-15 23:04:09,,,13,0,0,13,"Grand Princess, Canada"
99999,,Grand Princess,US,2020-04-15 22:56:51,,,103,0,0,103,"Grand Princess, US"
