Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"16/04/2020 6:30 AM",14350,14579
Belgium,"16/04/2020 6:30 AM",33573,34401
Brazil,"16/04/2020 6:30 AM",28610,30776
Canada,"16/04/2020 6:30 AM",28379,30046
China,"16/04/2020 6:30 AM",82285,82300
France,"16/04/2020 6:30 AM",147863,151291
Germany,"16/04/2020 6:30 AM",134753,137523
Iran,"16/04/2020 6:30 AM",76389,77403
Italy,"16/04/2020 6:30 AM",165155,166909
Japan,"16/04/2020 6:30 AM",8626,9308
Netherlands,"16/04/2020 6:30 AM",28153,29622
Portugal,"16/04/2020 6:30 AM",18091,18847
Russia,"16/04/2020 6:30 AM",24490,28897
"South Korea","16/04/2020 6:30 AM",10591,10614
Spain,"16/04/2020 6:30 AM",180659,184261
Switzerland,"16/04/2020 6:30 AM",26336,26690
Turkey,"16/04/2020 6:30 AM",69392,72299
UK,"16/04/2020 6:30 AM",98476,105149
USA,"16/04/2020 6:30 AM",644089,668506
"World Global","16/04/2020 6:30 AM",2082372,2161805
