Country_Region,Last_ Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"17/04/2020 9:30 AM",14476,14688
Belgium,"17/04/2020 9:30 AM",34809,35604
Brazil,"17/04/2020 9:30 AM",30683,33006
Canada,"17/04/2020 9:30 AM",30106,31771
China,"17/04/2020 9:30 AM",82341,82354
France,"17/04/2020 9:30 AM",145027,148333
Germany,"17/04/2020 9:30 AM",137698,140283
Iran,"17/04/2020 9:30 AM",77995,78941
Italy,"17/04/2020 9:30 AM",168941,170511
Japan,"17/04/2020 9:30 AM",9231,9956
Netherlands,"17/04/2020 9:30 AM",29214,30236
Portugal,"17/04/2020 9:30 AM",18841,19462
Russia,"17/04/2020 9:30 AM",27938,33028
"South Korea","17/04/2020 9:30 AM",10613,10635
Spain,"17/04/2020 9:30 AM",184948,188407
Switzerland,"17/04/2020 9:30 AM",26732,27094
Turkey,"17/04/2020 9:30 AM",74193,80698
UK,"17/04/2020 9:30 AM",103093,109491
USA,"17/04/2020 9:30 AM",677570,715046
"World Global","17/04/2020 9:30 AM",2181308,2291125
