Country_Region,"Last_ Update","Confirmed Past 24 hours","Prediction Cases next 24 hours"
Austria,"14/04/2020 06:25 AM",14041,14327
Belgium,"14/04/2020 06:25 AM",30589,31545
Brazil,"14/04/2020 06:25 AM",23430,25896
Canada,"14/04/2020 06:25 AM",25680,27386
China,"14/04/2020 06:25 AM",82160,82450
France,"14/04/2020 06:25 AM",136779,140745
Germany,"14/04/2020 06:25 AM",130072,133673
Iran,"14/04/2020 06:25 AM",73303,74509
Italy,"14/04/2020 06:25 AM",159516,161941
Japan,"14/04/2020 06:25 AM",7618,8237
Netherlands,"14/04/2020 06:25 AM",26551,27689
Portugal,"14/04/2020 06:25 AM",16934,17697
Russia,"14/04/2020 06:25 AM",18328,21973
"South Korea","14/04/2020 06:25 AM",10537,10562
Spain,"14/04/2020 06:25 AM",170099,175311
Switzerland,"14/04/2020 06:25 AM",25688,26183
"The UK","14/04/2020 06:25 AM",88621,95694
"The USA","14/04/2020 06:25 AM",586941,611412
Turkey,"14/04/2020 06:25 AM",61049,67765
"World Global","14/04/2020 06:25 AM",1923848,2000779
