Country_Region,Country_Region_copy1,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"20/04/2020 5:30 AM",14749,14882
Belgium,"20/04/2020 5:30 AM",38496,39245
Brazil,"20/04/2020 5:30 AM",38654,41153
Canada,"20/04/2020 5:30 AM",35056,36674
China,"20/04/2020 5:30 AM",82735,82740
France,"20/04/2020 5:30 AM",152894,155510
Germany,"20/04/2020 5:30 AM",145742,147606
Iran,"20/04/2020 5:30 AM",82211,82986
Italy,"20/04/2020 5:30 AM",178972,180132
Japan,"20/04/2020 5:30 AM",10797,11679
Netherlands,"20/04/2020 5:30 AM",32655,33618
Portugal,"20/04/2020 5:30 AM",20206,20716
Russia,"20/04/2020 5:30 AM",42853,49960
"South Korea","20/04/2020 5:30 AM",10661,10681
Spain,"20/04/2020 5:30 AM",198674,201524
Switzerland,"20/04/2020 5:30 AM",27740,27978
Turkey,"20/04/2020 5:30 AM",86306,91896
UK,"20/04/2020 5:30 AM",120067,126083
USA,"20/04/2020 5:30 AM",763832,786428
"World Global","20/04/2020 5:30 AM",2405771,2483743
