Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"23/04/2020 8:30 AM",14925,14984
Belgium,"23/04/2020 8:30 AM",41889,42424
Brazil,"23/04/2020 8:30 AM",45757,47592
Canada,"23/04/2020 8:30 AM",40190,41783
China,"23/04/2020 8:30 AM",82788,82791
France,"23/04/2020 8:30 AM",159877,161833
Germany,"23/04/2020 8:30 AM",150648,151685
Iran,"23/04/2020 8:30 AM",85996,86561
Italy,"23/04/2020 8:30 AM",187327,187758
Japan,"23/04/2020 8:30 AM",11950,12888
Netherlands,"23/04/2020 8:30 AM",34842,35582
Portugal,"23/04/2020 8:30 AM",21982,22286
Russia,"23/04/2020 8:30 AM",57999,66219
"South Korea","23/04/2020 8:30 AM",10694,10710
Spain,"23/04/2020 8:30 AM",208389,210140
Switzerland,"23/04/2020 8:30 AM",28268,28352
Turkey,"23/04/2020 8:30 AM",98674,102137
UK,"23/04/2020 8:30 AM",133495,138355
USA,"23/04/2020 8:30 AM",848717,867385
"World Global","23/04/2020 8:30 AM",2635716,2706292
